objectID,image_id,price_category,cuisines_1,cuisines_2,labels
78848,2182000.jpg,mid-range,Greek,,food
79182,1956014.jpg,mid-range,Modern French,,food
79041,2289173.jpg,premium,Seafood,,food
79041,2225512.jpg,premium,Seafood,,food
79041,2089586.jpg,premium,Seafood,,food
79041,2637246.jpg,premium,Seafood,,food
79268,2119391.jpg,premium,Modern French,,food
79268,2130677.jpg,premium,Modern French,,food
79268,2255648.jpg,premium,Modern French,,food
79268,2047909.jpg,premium,Modern French,,food
79301,1955141.jpg,premium,Seafood,Classic Cuisine,food
79040,2076232.jpg,premium,Seafood,,food
79360,5637014.jpg,premium,Organic,Market Cuisine,food
79360,5637083.jpg,premium,Organic,Market Cuisine,food
79360,5637024.jpg,premium,Organic,Market Cuisine,food
79360,5637059.jpg,premium,Organic,Market Cuisine,food
79360,5637008.jpg,premium,Organic,Market Cuisine,food
79360,5637032.jpg,premium,Organic,Market Cuisine,food
79360,5637092.jpg,premium,Organic,Market Cuisine,food
79360,5637047.jpg,premium,Organic,Market Cuisine,food
79360,5637051.jpg,premium,Organic,Market Cuisine,food
78709,1955135.jpg,premium,Japanese,,food
78709,1955140.jpg,premium,Japanese,,food
78664,4186019.jpg,mid-range,Belgian,Classic Cuisine,food
78664,2699390.jpg,mid-range,Belgian,Classic Cuisine,food
78664,2110588.jpg,mid-range,Belgian,Classic Cuisine,food
78664,2288562.jpg,mid-range,Belgian,Classic Cuisine,food
78664,2685769.jpg,mid-range,Belgian,Classic Cuisine,food
78959,2684664.jpg,mid-range,Classic Cuisine,Belgian,food
78959,2148229.jpg,mid-range,Classic Cuisine,Belgian,food
78959,2280672.jpg,mid-range,Classic Cuisine,Belgian,food
79004,2638290.jpg,mid-range,Classic French,,food
79004,2227239.jpg,mid-range,Classic French,,food
79141,2229034.jpg,luxury,Classic Cuisine,,food
79141,5134837.jpg,luxury,Classic Cuisine,,food
79141,2683878.jpg,luxury,Classic Cuisine,,food
79141,5134818.jpg,luxury,Classic Cuisine,,food
79141,2231967.jpg,luxury,Classic Cuisine,,food
79141,5134795.jpg,luxury,Classic Cuisine,,food
79141,5134815.jpg,luxury,Classic Cuisine,,food
78635,1869679.jpg,luxury,Modern French,Creative,food
78635,1869653.jpg,luxury,Modern French,Creative,food
78635,1869652.jpg,luxury,Modern French,Creative,food
78635,1869655.jpg,luxury,Modern French,Creative,food
78850,1870055.jpg,premium,Traditional Cuisine,Belgian,food
78850,1870061.jpg,premium,Traditional Cuisine,Belgian,food
78850,1870029.jpg,premium,Traditional Cuisine,Belgian,food
78850,1870056.jpg,premium,Traditional Cuisine,Belgian,food
78850,1955404.jpg,premium,Traditional Cuisine,Belgian,food
79234,1957372.jpg,premium,Creative,,food
79234,1957405.jpg,premium,Creative,,food
79061,1956968.jpg,premium,Italian,,food
79061,1956973.jpg,premium,Italian,,food
79061,1956974.jpg,premium,Italian,,food
78800,2088345.jpg,premium,Belgian,,food
78800,2266795.jpg,premium,Belgian,,food
78800,2270115.jpg,premium,Belgian,,food
79184,2199829.jpg,mid-range,Seasonal Cuisine,Belgian,food
79184,2289802.jpg,mid-range,Seasonal Cuisine,Belgian,food
79184,2178419.jpg,mid-range,Seasonal Cuisine,Belgian,food
79184,2268292.jpg,mid-range,Seasonal Cuisine,Belgian,food
79184,2109028.jpg,mid-range,Seasonal Cuisine,Belgian,food
79184,2151819.jpg,mid-range,Seasonal Cuisine,Belgian,food
79184,2298572.jpg,mid-range,Seasonal Cuisine,Belgian,food
79272,2637433.jpg,premium,Seasonal Cuisine,,food
79272,2640452.jpg,premium,Seasonal Cuisine,,food
79272,2238998.jpg,premium,Seasonal Cuisine,,food
79272,2270889.jpg,premium,Seasonal Cuisine,,food
79272,2155612.jpg,premium,Seasonal Cuisine,,food
79272,2213176.jpg,premium,Seasonal Cuisine,,food
79272,2269700.jpg,premium,Seasonal Cuisine,,food
78849,2293022.jpg,premium,Spanish,,food
78849,2641805.jpg,premium,Spanish,,food
78849,2236576.jpg,premium,Spanish,,food
78849,2692882.jpg,premium,Spanish,,food
78849,2192342.jpg,premium,Spanish,,food
78849,2125980.jpg,premium,Spanish,,food
78849,2175384.jpg,premium,Spanish,,food
78849,2092541.jpg,premium,Spanish,,food
78849,2194190.jpg,premium,Spanish,,food
78849,1957939.jpg,premium,Spanish,,food
78849,5480263.jpg,premium,Spanish,,food
78849,5480270.jpg,premium,Spanish,,food
78849,5480281.jpg,premium,Spanish,,food
78849,5480286.jpg,premium,Spanish,,food
78849,5480298.jpg,premium,Spanish,,food
78849,5480320.jpg,premium,Spanish,,food
78849,5480328.jpg,premium,Spanish,,food
78849,5480338.jpg,premium,Spanish,,food
78849,5480389.jpg,premium,Spanish,,food
78849,5480394.jpg,premium,Spanish,,food
78801,1984981.jpg,luxury,Italian,Sicilian,food
78801,1984983.jpg,luxury,Italian,Sicilian,food
78801,1985006.jpg,luxury,Italian,Sicilian,food
79064,2159534.jpg,mid-range,Classic Cuisine,Country cooking,food
79064,2263631.jpg,mid-range,Classic Cuisine,Country cooking,food
78753,4689006.jpg,luxury,Asian Influences,Creative,food
78753,4689015.jpg,luxury,Asian Influences,Creative,food
78977,5150110.jpg,mid-range,Modern Cuisine,International,food
78977,5150092.jpg,mid-range,Modern Cuisine,International,food
78977,5150078.jpg,mid-range,Modern Cuisine,International,food
78977,5150060.jpg,mid-range,Modern Cuisine,International,food
79269,2244091.jpg,mid-range,Traditional Cuisine,Classic French,food
79269,2229171.jpg,mid-range,Traditional Cuisine,Classic French,food
79269,2685019.jpg,mid-range,Traditional Cuisine,Classic French,food
79269,2108909.jpg,mid-range,Traditional Cuisine,Classic French,food
79269,2160788.jpg,mid-range,Traditional Cuisine,Classic French,food
78632,4609076.jpg,mid-range,Italian,,food
78632,4609006.jpg,mid-range,Italian,,food
78632,4608992.jpg,mid-range,Italian,,food
78632,4608998.jpg,mid-range,Italian,,food
78632,4609030.jpg,mid-range,Italian,,food
78632,4609070.jpg,mid-range,Italian,,food
79009,5353959.jpg,mid-range,Vietnamese Contemporary,,food
79009,5353978.jpg,mid-range,Vietnamese Contemporary,,food
79009,5354041.jpg,mid-range,Vietnamese Contemporary,,food
79009,5354015.jpg,mid-range,Vietnamese Contemporary,,food
79009,5354012.jpg,mid-range,Vietnamese Contemporary,,food
79009,5353962.jpg,mid-range,Vietnamese Contemporary,,food
79009,5353968.jpg,mid-range,Vietnamese Contemporary,,food
78924,2109236.jpg,premium,Meats and Grills,Modern French,food
78924,2089106.jpg,premium,Meats and Grills,Modern French,food
78774,1955876.jpg,mid-range,Regional Cuisine,Classic Cuisine,food
78901,2111833.jpg,premium,Market Cuisine,Traditional Cuisine,food
78901,2213827.jpg,premium,Market Cuisine,Traditional Cuisine,food
78901,2161847.jpg,premium,Market Cuisine,Traditional Cuisine,food
78901,2149031.jpg,premium,Market Cuisine,Traditional Cuisine,food
78655,1911253.jpg,luxury,French,,food
78655,1911249.jpg,luxury,French,,food
78655,1911244.jpg,luxury,French,,food
78988,1869823.jpg,mid-range,Italian,,food
78988,4152648.jpg,mid-range,Italian,,food
79424,4663841.jpg,mid-range,Organic,Vegetarian,food
79424,4663902.jpg,mid-range,Organic,Vegetarian,food
79424,4663894.jpg,mid-range,Organic,Vegetarian,food
79408,5435590.jpg,affordable,Vegetarian,Organic,food
79408,5435559.jpg,affordable,Vegetarian,Organic,food
78946,4455632.jpg,luxury,Modern Cuisine,Creative,food
78946,4455563.jpg,luxury,Modern Cuisine,Creative,food
78946,4455586.jpg,luxury,Modern Cuisine,Creative,food
78937,4598596.jpg,mid-range,Home Cooking,,food
78937,4598558.jpg,mid-range,Home Cooking,,food
78937,4598539.jpg,mid-range,Home Cooking,,food
78937,4598534.jpg,mid-range,Home Cooking,,food
78937,4598604.jpg,mid-range,Home Cooking,,food
78836,2124512.jpg,luxury,Creative,Modern Cuisine,food
78836,2637216.jpg,luxury,Creative,Modern Cuisine,food
78836,2126592.jpg,luxury,Creative,Modern Cuisine,food
78836,2092202.jpg,luxury,Creative,Modern Cuisine,food
79220,4667456.jpg,mid-range,Organic,Vegetarian,food
79220,2295436.jpg,mid-range,Organic,Vegetarian,food
79220,4667453.jpg,mid-range,Organic,Vegetarian,food
79220,2256524.jpg,mid-range,Organic,Vegetarian,food
79220,2197113.jpg,mid-range,Organic,Vegetarian,food
79220,4667434.jpg,mid-range,Organic,Vegetarian,food
79220,4667429.jpg,mid-range,Organic,Vegetarian,food
79357,5522533.jpg,premium,Organic,,food
79357,5522479.jpg,premium,Organic,,food
79357,5522471.jpg,premium,Organic,,food
79357,5522460.jpg,premium,Organic,,food
79357,5522464.jpg,premium,Organic,,food
78949,4668515.jpg,premium,Italian,,food
78949,4668524.jpg,premium,Italian,,food
78653,2256697.jpg,luxury,Italian,,food
78653,2236817.jpg,luxury,Italian,,food
78653,2146157.jpg,luxury,Italian,,food
78981,2240508.jpg,mid-range,Sharing,Country cooking,food
79395,5611670.jpg,mid-range,Italian,,food
79395,5611697.jpg,mid-range,Italian,,food
79395,5611663.jpg,mid-range,Italian,,food
79395,5611682.jpg,mid-range,Italian,,food
79395,5611658.jpg,mid-range,Italian,,food
79391,4872145.jpg,mid-range,Contemporary,Market Cuisine,food
78882,2040521.jpg,mid-range,Belgian,Classic Cuisine,food
78781,2691654.jpg,premium,Creative,Organic,food
78781,4230765.jpg,premium,Creative,Organic,food
78710,2144914.jpg,premium,Modern French,,food
78710,2106169.jpg,premium,Modern French,,food
78710,2296913.jpg,premium,Modern French,,food
78710,2091316.jpg,premium,Modern French,,food
78710,2267691.jpg,premium,Modern French,,food
78710,2142060.jpg,premium,Modern French,,food
78710,2107149.jpg,premium,Modern French,,food
79104,2197484.jpg,premium,Creative French,,food
79104,2245397.jpg,premium,Creative French,,food
79104,2151302.jpg,premium,Creative French,,food
79104,2685465.jpg,premium,Creative French,,food
79104,2239845.jpg,premium,Creative French,,food
79104,2140177.jpg,premium,Creative French,,food
79104,2639147.jpg,premium,Creative French,,food
79104,2105137.jpg,premium,Creative French,,food
79104,2049057.jpg,premium,Creative French,,food
79104,2279896.jpg,premium,Creative French,,food
