image_id,price_category
5435590.jpg,affordable
5435559.jpg,affordable
2641522.jpg,affordable
2686493.jpg,affordable
2195900.jpg,affordable
2247203.jpg,affordable
5644341.jpg,affordable
5644376.jpg,affordable
5644320.jpg,affordable
5644388.jpg,affordable
1910071.jpg,affordable
5657382.jpg,affordable
4510459.jpg,affordable
2040600.jpg,affordable
4659943.jpg,affordable
4659873.jpg,affordable
2696164.jpg,affordable
2295041.jpg,affordable
2168186.jpg,affordable
2693253.jpg,affordable
2107053.jpg,affordable
2289740.jpg,affordable
2217831.jpg,affordable
2120135.jpg,affordable
4072833.jpg,affordable
5485037.jpg,affordable
4072818.jpg,affordable
2142136.jpg,affordable
2102097.jpg,affordable
2646532.jpg,affordable
2092123.jpg,affordable
2088337.jpg,affordable
2171518.jpg,affordable
2262404.jpg,affordable
2094548.jpg,affordable
2122557.jpg,affordable
2093232.jpg,affordable
2106901.jpg,affordable
1985012.jpg,affordable
1985014.jpg,affordable
1985015.jpg,affordable
1985037.jpg,affordable
1985038.jpg,affordable
2700948.jpg,affordable
2247824.jpg,affordable
2105418.jpg,affordable
1957644.jpg,affordable
4458412.jpg,affordable
4646479.jpg,affordable
4662391.jpg,affordable
2271714.jpg,affordable
2254608.jpg,affordable
2683746.jpg,affordable
2112421.jpg,affordable
2643058.jpg,affordable
2218710.jpg,affordable
2290266.jpg,affordable
2233314.jpg,affordable
2233075.jpg,affordable
2155881.jpg,affordable
2273079.jpg,affordable
1940912.jpg,affordable
1940909.jpg,affordable
252139.jpg,affordable
252140.jpg,affordable
4191382.jpg,affordable
4507894.jpg,affordable
4508691.jpg,affordable
253537.jpg,affordable
4627097.jpg,affordable
2047759.jpg,affordable
2093402.jpg,affordable
2157489.jpg,affordable
2085201.jpg,affordable
2085197.jpg,affordable
1941540.jpg,affordable
1941531.jpg,affordable
1941534.jpg,affordable
1941541.jpg,affordable
2133375.jpg,affordable
2134696.jpg,affordable
2270016.jpg,affordable
1940978.jpg,affordable
1941028.jpg,affordable
1243973.jpg,affordable
1315708.jpg,affordable
1360949.jpg,affordable
5615764.jpg,affordable
5615774.jpg,affordable
5615784.jpg,affordable
5615794.jpg,affordable
5615814.jpg,affordable
5615815.jpg,affordable
5615804.jpg,affordable
5615418.jpg,affordable
5615417.jpg,affordable
5615419.jpg,affordable
5615473.jpg,affordable
5615475.jpg,affordable
5615472.jpg,affordable
5615448.jpg,affordable
5615443.jpg,affordable
5615444.jpg,affordable
5432965.jpg,affordable
5432967.jpg,affordable
5432916.jpg,affordable
5432893.jpg,affordable
5627377.jpg,affordable
5627383.jpg,affordable
5627398.jpg,affordable
5627351.jpg,affordable
5627378.jpg,affordable
5627356.jpg,affordable
5627402.jpg,affordable
5627366.jpg,affordable
5627350.jpg,affordable
5627362.jpg,affordable
5627355.jpg,affordable
5627357.jpg,affordable
5627628.jpg,affordable
5627630.jpg,affordable
5627608.jpg,affordable
5627631.jpg,affordable
5627623.jpg,affordable
5627609.jpg,affordable
5627610.jpg,affordable
5627625.jpg,affordable
5627620.jpg,affordable
5564375.jpg,affordable
5564324.jpg,affordable
5564283.jpg,affordable
5564312.jpg,affordable
5564335.jpg,affordable
5564354.jpg,affordable
5564367.jpg,affordable
5158919.jpg,affordable
5158834.jpg,affordable
5158931.jpg,affordable
5158849.jpg,affordable
5498985.jpg,affordable
5498650.jpg,affordable
5498673.jpg,affordable
5498931.jpg,affordable
5498894.jpg,affordable
5521452.jpg,affordable
5521466.jpg,affordable
5521461.jpg,affordable
5585012.jpg,affordable
5637817.jpg,affordable
5585007.jpg,affordable
5585027.jpg,affordable
5283813.jpg,affordable
5283822.jpg,affordable
5283803.jpg,affordable
451914.jpg,affordable
693411.jpg,affordable
4195612.jpg,affordable
4554615.jpg,affordable
4554646.jpg,affordable
4195558.jpg,affordable
4055677.jpg,affordable
4055704.jpg,affordable
4055665.jpg,affordable
4492954.jpg,affordable
4492949.jpg,affordable
4492931.jpg,affordable
5538095.jpg,affordable
5538146.jpg,affordable
5538108.jpg,affordable
4605289.jpg,affordable
4605278.jpg,affordable
4605367.jpg,affordable
4605283.jpg,affordable
4605296.jpg,affordable
4605341.jpg,affordable
4605377.jpg,affordable
4536044.jpg,affordable
4536071.jpg,affordable
4536076.jpg,affordable
4478624.jpg,affordable
4478642.jpg,affordable
4478615.jpg,affordable
4478627.jpg,affordable
681036.jpg,affordable
508205.jpg,affordable
808031.jpg,affordable
671938.jpg,affordable
773734.jpg,affordable
670608.jpg,affordable
672589.jpg,affordable
691371.jpg,affordable
653384.jpg,affordable
497148.jpg,affordable
747349.jpg,affordable
756337.jpg,affordable
664860.jpg,affordable
714068.jpg,affordable
5525561.jpg,affordable
5525596.jpg,affordable
5525588.jpg,affordable
4081266.jpg,affordable
5294012.jpg,affordable
5294003.jpg,affordable
4834332.jpg,affordable
4834287.jpg,affordable
4834291.jpg,affordable
4065220.jpg,affordable
4065271.jpg,affordable
4065229.jpg,affordable
4065250.jpg,affordable
5440945.jpg,affordable
4159129.jpg,affordable
4159043.jpg,affordable
817625.jpg,affordable
